"Statistic Label","CensusYear","Sex","Means of Travel","At Work, Childcare, School or College","UNIT","VALUE"
"Persons Usually Resident and Present in the State","1986","Both sexes","On foot","All persons","Number","505530"
"Persons Usually Resident and Present in the State","1986","Both sexes","On foot","Population aged 15 years and over at work","Number","136000"
"Persons Usually Resident and Present in the State","1986","Both sexes","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","251947"
"Persons Usually Resident and Present in the State","1986","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","105292"
"Persons Usually Resident and Present in the State","1986","Both sexes","On foot","Students at school or college aged 19 years and over","Number","12291"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bicycle","All persons","Number","146962"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bicycle","Population aged 15 years and over at work","Number","60750"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","23635"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","50648"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","11929"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bus, minibus or coach","All persons","Number","323914"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","93336"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","105245"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","114827"
"Persons Usually Resident and Present in the State","1986","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","10506"
"Persons Usually Resident and Present in the State","1986","Both sexes","Train, DART or LUAS","All persons","Number","22690"
"Persons Usually Resident and Present in the State","1986","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","16096"
"Persons Usually Resident and Present in the State","1986","Both sexes","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","1986","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","636"
"Persons Usually Resident and Present in the State","1986","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","3408"
"Persons Usually Resident and Present in the State","1986","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","2550"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motorcycle or scooter","All persons","Number","16680"
"Persons Usually Resident and Present in the State","1986","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","15614"
